,precision,recall,f1-score,support
akiec,0.26666666666666666,0.4897959183673469,0.34532374100719426,49.0
bcc,0.3333333333333333,0.2987012987012987,0.3150684931506849,77.0
bkl,0.328,0.24848484848484848,0.2827586206896552,165.0
df,0.03488372093023256,0.17647058823529413,0.05825242718446602,17.0
mel,0.24277456647398843,0.25149700598802394,0.24705882352941178,167.0
nv,0.9145833333333333,0.4363817097415507,0.5908479138627187,1006.0
vasc,0.04375,0.9545454545454546,0.08366533864541832,22.0
accuracy,0.39454424484364603,0.39454424484364603,0.39454424484364603,0.39454424484364603
macro avg,0.3091416601053649,0.4079824034376882,0.27471076543850703,1503.0
weighted avg,0.701944805404948,0.39454424484364603,0.483246216422748,1503.0
